CC1,-CC1,CC2,-CC2,M4G,-M4G,CCL,-CCL,CCX,-CCX,CC2 (Transfer),-CC2T,M4G (Transfer),-M4GT,CC1 & CC2 & M4G,-CC1CC2M4G
Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM
28,50,,,,,,,,,,,,,28,50
29,60,,,,,,,,,,,,,29,60
31,73,,,,,,,,,,,,,31,73
123,72,,,,,,,,,,,,,123,72
138,55,,,,,,,,,,,,,138,55
141,70,,,,,,,,,,,,,141,70
145,77,,,,,,,,,,,,,145,77
148,78,,,,,,,,,,,,,148,78
151,84,,,,,,,,,,,,,151,84
155,92,,,,,,,,,,,,,155,92
157,93,,,,,,,,,,,,,157,93
193,101,,,,,,,,,,,,,193,101
30,37,,,,,,,,,,,,,30,37
32,35,,,,,,,,,,,,,32,35
33,37,,,,,,,,,,,,,33,37
34,38,,,,,,,,,,,,,34,38
35,41,,,,,,,,,,,,,35,41
36,41,,,,,,,,,,,,,36,41
37,43,,,,,,,,,,,,,37,43
38,44,,,,,,,,,,,,,38,44
39,47,,,,,,,,,,,,,39,47
40,47,,,,,,,,,,,,,40,47
41,47,,,,,,,,,,,,,41,47
42,48,,,,,,,,,,,,,42,48
43,50,,,,,,,,,,,,,43,50
44,51,,,,,,,,,,,,,44,51
45,52,,,,,,,,,,,,,45,52
46,54,,,,,,,,,,,,,46,54
47,52,,,,,,,,,,,,,47,52
48,52,,,,,,,,,,,,,48,52
53,53,,,,,,,,,,,,,53,53
54,53,,,,,,,,,,,,,54,53
55,53,,,,,,,,,,,,,55,53
56,55,,,,,,,,,,,,,56,55
57,56,,,,,,,,,,,,,57,56
58,58,,,,,,,,,,,,,58,58
59,56,,,,,,,,,,,,,59,56
60,58,,,,,,,,,,,,,60,58
61,45,,,,,,,,,,,,,61,45
62,49,,,,,,,,,,,,,62,49
63,46,,,,,,,,,,,,,63,46
64,48,,,,,,,,,,,,,64,48
66,50,,,,,,,,,,,,,66,50
68,52,,,,,,,,,,,,,68,52
69,54,,,,,,,,,,,,,69,54
70,90,,,,,,,,,,,,,70,90
71,54,,,,,,,,,,,,,71,54
72,56,,,,,,,,,,,,,72,56
75,104,,,,,,,,,,,,,75,104
76,108,,,,,,,,,,,,,76,108
81,62,,,,,,,,,,,,,81,62
82,60,,,,,,,,,,,,,82,60
83,55,,,,,,,,,,,,,83,55
85,56,,,,,,,,,,,,,85,56
87,64,,,,,,,,,,,,,87,64
89,68,,,,,,,,,,,,,89,68
91,53,,,,,,,,,,,,,91,53
93,58,,,,,,,,,,,,,93,58
94,69,,,,,,,,,,,,,94,69
97,61,,,,,,,,,,,,,97,61
98,62,,,,,,,,,,,,,98,62
99,71,,,,,,,,,,,,,99,71
100,66,,,,,,,,,,,,,100,66
101,81,,,,,,,,,,,,,101,81
103,86,,,,,,,,,,,,,103,86
106,87,,,,,,,,,,,,,106,87
108,131,,,,,,,,,,,,,108,131
111,83,,,,,,,,,,,,,111,83
115,85,,,,,,,,,,,,,115,85
116,100,,,,,,,,,,,,,116,100
118,76,,,,,,,,,,,,,118,76
119,150,,,,,,,,,,,,,119,150
120,155,,,,,,,,,,,,,120,155
136,79,,,,,,,,,,,,,136,79
138,95,,,,,,,,,,,,,138,95
139,51,,,,,,,,,,,,,139,51
143,52,,,,,,,,,,,,,143,52
144,81,,,,,,,,,,,,,144,81
147,57,,,,,,,,,,,,,147,57
148,57,,,,,,,,,,,,,148,57
150,59,,,,,,,,,,,,,150,59
151,86,,,,,,,,,,,,,151,86
153,58,,,,,,,,,,,,,153,58
155,60,,,,,,,,,,,,,155,60
157,59,,,,,,,,,,,,,157,59
159,63,,,,,,,,,,,,,159,63
160,60,,,,,,,,,,,,,160,60
165,62,,,,,,,,,,,,,165,62
166,62,,,,,,,,,,,,,166,62
170,61,,,,,,,,,,,,,170,61
171,62,,,,,,,,,,,,,171,62
172,61,,,,,,,,,,,,,172,61
173,61,,,,,,,,,,,,,173,61
175,61,,,,,,,,,,,,,175,61
178,65,,,,,,,,,,,,,178,65
179,62,,,,,,,,,,,,,179,62
180,63,,,,,,,,,,,,,180,63
181,63,,,,,,,,,,,,,181,63
182,65,,,,,,,,,,,,,182,65
185,63,,,,,,,,,,,,,185,63
186,65,,,,,,,,,,,,,186,65
187,65,,,,,,,,,,,,,187,65
189,64,,,,,,,,,,,,,189,64
192,91,,,,,,,,,,,,,192,91
199,66,,,,,,,,,,,,,199,66
200,65,,,,,,,,,,,,,200,65
201,63,,,,,,,,,,,,,201,63
202,69,,,,,,,,,,,,,202,69
203,66,,,,,,,,,,,,,203,66
206,69,,,,,,,,,,,,,206,69
207,94,,,,,,,,,,,,,207,94
243,93,,,,,,,,,,,,,243,93
258,122,,,,,,,,,,,,,258,122
266,81,,,,,,,,,,,,,266,81
270,163,,,,,,,,,,,,,270,163
275,92,,,,,,,,,,,,,275,92
276,127,,,,,,,,,,,,,276,127
284,138,,,,,,,,,,,,,284,138
318,105,,,,,,,,,,,,,318,105
320,95,,,,,,,,,,,,,320,95
333,107,,,,,,,,,,,,,333,107
342,71,,,,,,,,,,,,,342,71
354,113,,,,,,,,,,,,,354,113
359,103,,,,,,,,,,,,,359,103
367,84,,,,,,,,,,,,,367,84
368,170,,,,,,,,,,,,,368,170
374,105,,,,,,,,,,,,,374,105
375,138,,,,,,,,,,,,,375,138
377,86,,,,,,,,,,,,,377,86
378,141,,,,,,,,,,,,,378,141
381,152,,,,,,,,,,,,,381,152
383,128,,,,,,,,,,,,,383,128
388,88,,,,,,,,,,,,,388,88
390,190,,,,,,,,,,,,,390,190
397,90,,,,,,,,,,,,,397,90
404,80,,,,,,,,,,,,,404,80
409,191,,,,,,,,,,,,,409,191
432,104,,,,,,,,,,,,,432,104
433,192,,,,,,,,,,,,,433,192
466,122,,,,,,,,,,,,,466,122
496,141,,,,,,,,,,,,,496,141
522,146,,,,,,,,,,,,,522,146
524,107,,,,,,,,,,,,,524,107
567,174,,,,,,,,,,,,,567,174
3,11,,,,,,,,,,,,,3,11
6,15,,,,,,,,,,,,,6,15
88,23,,,,,,,,,,,,,88,23
93,30,,,,,,,,,,,,,93,30
95,51,,,,,,,,,,,,,95,51
96,30,,,,,,,,,,,,,96,30
100,30,,,,,,,,,,,,,100,30
121,40,,,,,,,,,,,,,121,40
108,16,,,,,,,,,,,,,108,16
112,12,,,,,,,,,,,,,112,12
113,25,,,,,,,,,,,,,113,25
114,21,,,,,,,,,,,,,114,21
115,29,,,,,,,,,,,,,115,29
116,18,,,,,,,,,,,,,116,18
131,18,,,,,,,,,,,,,131,18
132,29,,,,,,,,,,,,,132,29
133,29,,,,,,,,,,,,,133,29
134,17,,,,,,,,,,,,,134,17
135,24,,,,,,,,,,,,,135,24
136,24,,,,,,,,,,,,,136,24
138,25,,,,,,,,,,,,,138,25
139,21,,,,,,,,,,,,,139,21
140,29,,,,,,,,,,,,,140,29
141,36,,,,,,,,,,,,,141,36
144,29,,,,,,,,,,,,,144,29
145,23,,,,,,,,,,,,,145,23
147,22,,,,,,,,,,,,,147,22
148,34,,,,,,,,,,,,,148,34
149,37,,,,,,,,,,,,,149,37
150,34,,,,,,,,,,,,,150,34
151,38,,,,,,,,,,,,,151,38
152,34,,,,,,,,,,,,,152,34
153,33,,,,,,,,,,,,,153,33
155,41,,,,,,,,,,,,,155,41
158,38,,,,,,,,,,,,,158,38
159,39,,,,,,,,,,,,,159,39
160,34,,,,,,,,,,,,,160,34
161,43,,,,,,,,,,,,,161,43
162,26,,,,,,,,,,,,,162,26
163,31,,,,,,,,,,,,,163,31
165,28,,,,,,,,,,,,,165,28
166,29,,,,,,,,,,,,,166,29
167,42,,,,,,,,,,,,,167,42
21,36,,,,,,,,,,,,,21,36
23,44,,,,,,,,,,,,,23,44
30,51,,,,,,,,,,,,,30,51
39,53,,,,,,,,,,,,,39,53
42,63,,,,,,,,,,,,,42,63
160,73,,,,,,,,,,,,,160,73
161,76,,,,,,,,,,,,,161,76
168,79,,,,,,,,,,,,,168,79
194,86,,,,,,,,,,,,,194,86
200,87,,,,,,,,,,,,,200,87
201,93,,,,,,,,,,,,,201,93
99,70,,,,,,,,,,,,,99,70
114,66,,,,,,,,,,,,,114,66
137,70,,,,,,,,,,,,,137,70
145,71,,,,,,,,,,,,,145,71
166,55,,,,,,,,,,,,,166,55
168,60,,,,,,,,,,,,,168,60
171,64,,,,,,,,,,,,,171,64
172,67,,,,,,,,,,,,,172,67
181,69,,,,,,,,,,,,,181,69
182,70,,,,,,,,,,,,,182,70
184,71,,,,,,,,,,,,,184,71
185,76,,,,,,,,,,,,,185,76
186,115,,,,,,,,,,,,,186,115
193,74,,,,,,,,,,,,,193,74
256,81,,,,,,,,,,,,,256,81
259,122,,,,,,,,,,,,,259,122
603,131,,,,,,,,,,,,,603,131
607,137,,,,,,,,,,,,,607,137
652,140,,,,,,,,,,,,,652,140
653,157,,,,,,,,,,,,,653,157
702,162,,,,,,,,,,,,,702,162
1,19,,,,,,,,,,,,,1,19
2,22,,,,,,,,,,,,,2,22
3,29,,,,,,,,,,,,,3,29
5,35,,,,,,,,,,,,,5,35
6,28,,,,,,,,,,,,,6,28
7,38,,,,,,,,,,,,,7,38
8,41,,,,,,,,,,,,,8,41
36,46,,,,,,,,,,,,,36,46
40,49,,,,,,,,,,,,,40,49
45,54,,,,,,,,,,,,,45,54
47,61,,,,,,,,,,,,,47,61
50,67,,,,,,,,,,,,,50,67
157,71,,,,,,,,,,,,,157,71
169,80,,,,,,,,,,,,,169,80
173,87,,,,,,,,,,,,,173,87
183,88,,,,,,,,,,,,,183,88
188,50,,,,,,,,,,,,,188,50
190,90,,,,,,,,,,,,,190,90
191,108,,,,,,,,,,,,,191,108
210,112,,,,,,,,,,,,,210,112
211,122,,,,,,,,,,,,,211,122
212,137,,,,,,,,,,,,,212,137
216,126,,,,,,,,,,,,,216,126
261,144,,,,,,,,,,,,,261,144
263,158,,,,,,,,,,,,,263,158
265,151,,,,,,,,,,,,,265,151
277,157,,,,,,,,,,,,,277,157
286,172,,,,,,,,,,,,,286,172
287,182,,,,,,,,,,,,,287,182
288,161,,,,,,,,,,,,,288,161
301,155,,,,,,,,,,,,,301,155
303,186,,,,,,,,,,,,,303,186
550,196,,,,,,,,,,,,,550,196
551,112,,,,,,,,,,,,,551,112
3,35,,,,,,,,,,,,,3,35
4,35,,,,,,,,,,,,,4,35
7,35,,,,,,,,,,,,,7,35
13,33,,,,,,,,,,,,,13,33
20,37,,,,,,,,,,,,,20,37
21,36,,,,,,,,,,,,,21,36
23,40,,,,,,,,,,,,,23,40
24,38,,,,,,,,,,,,,24,38
25,40,,,,,,,,,,,,,25,40
26,41,,,,,,,,,,,,,26,41
27,41,,,,,,,,,,,,,27,41
28,40,,,,,,,,,,,,,28,40
29,42,,,,,,,,,,,,,29,42
30,43,,,,,,,,,,,,,30,43
31,46,,,,,,,,,,,,,31,46
32,47,,,,,,,,,,,,,32,47
33,47,,,,,,,,,,,,,33,47
34,48,,,,,,,,,,,,,34,48
35,50,,,,,,,,,,,,,35,50
36,48,,,,,,,,,,,,,36,48
37,48,,,,,,,,,,,,,37,48
38,52,,,,,,,,,,,,,38,52
39,56,,,,,,,,,,,,,39,56
40,53,,,,,,,,,,,,,40,53
41,53,,,,,,,,,,,,,41,53
42,53,,,,,,,,,,,,,42,53
43,53,,,,,,,,,,,,,43,53
44,57,,,,,,,,,,,,,44,57
45,51,,,,,,,,,,,,,45,51
46,57,,,,,,,,,,,,,46,57
47,63,,,,,,,,,,,,,47,63
48,59,,,,,,,,,,,,,48,59
50,53,,,,,,,,,,,,,50,53
52,53,,,,,,,,,,,,,52,53
53,58,,,,,,,,,,,,,53,58
54,62,,,,,,,,,,,,,54,62
55,61,,,,,,,,,,,,,55,61
56,61,,,,,,,,,,,,,56,61
57,66,,,,,,,,,,,,,57,66
58,64,,,,,,,,,,,,,58,64
59,62,,,,,,,,,,,,,59,62
60,64,,,,,,,,,,,,,60,64
63,65,,,,,,,,,,,,,63,65
64,68,,,,,,,,,,,,,64,68
65,69,,,,,,,,,,,,,65,69
66,69,,,,,,,,,,,,,66,69
67,70,,,,,,,,,,,,,67,70
68,68,,,,,,,,,,,,,68,68
71,68,,,,,,,,,,,,,71,68
72,71,,,,,,,,,,,,,72,71
73,70,,,,,,,,,,,,,73,70
74,68,,,,,,,,,,,,,74,68
75,75,,,,,,,,,,,,,75,75
76,74,,,,,,,,,,,,,76,74
77,71,,,,,,,,,,,,,77,71
78,75,,,,,,,,,,,,,78,75
81,74,,,,,,,,,,,,,81,74
95,80,,,,,,,,,,,,,95,80
1,23,,,,,,,,,,,,,1,23
2,37,,,,,,,,,,,,,2,37
3,26,,,,,,,,,,,,,3,26
4,31,,,,,,,,,,,,,4,31
5,33,,,,,,,,,,,,,5,33
7,34,,,,,,,,,,,,,7,34
8,34,,,,,,,,,,,,,8,34
9,39,,,,,,,,,,,,,9,39
11,43,,,,,,,,,,,,,11,43
12,46,,,,,,,,,,,,,12,46
30,47,,,,,,,,,,,,,30,47
67,53,,,,,,,,,,,,,67,53
247,70,,,,,,,,,,,,,247,70
1,30,,,,,,,,,,,,,1,30
2,31,,,,,,,,,,,,,2,31
3,34,,,,,,,,,,,,,3,34
4,43,,,,,,,,,,,,,4,43
5,48,,,,,,,,,,,,,5,48
7,41,,,,,,,,,,,,,7,41
8,44,,,,,,,,,,,,,8,44
9,46,,,,,,,,,,,,,9,46
10,47,,,,,,,,,,,,,10,47
11,55,,,,,,,,,,,,,11,55
13,67,,,,,,,,,,,,,13,67
14,73,,,,,,,,,,,,,14,73
19,61,,,,,,,,,,,,,19,61
21,78,,,,,,,,,,,,,21,78
22,94,,,,,,,,,,,,,22,94
25,92,,,,,,,,,,,,,25,92
27,66,,,,,,,,,,,,,27,66
31,77,,,,,,,,,,,,,31,77
32,70,,,,,,,,,,,,,32,70
36,73,,,,,,,,,,,,,36,73
40,102,,,,,,,,,,,,,40,102
42,82,,,,,,,,,,,,,42,82
61,85,,,,,,,,,,,,,61,85
62,111,,,,,,,,,,,,,62,111
63,87,,,,,,,,,,,,,63,87
66,126,,,,,,,,,,,,,66,126
67,92,,,,,,,,,,,,,67,92
68,90,,,,,,,,,,,,,68,90
70,116,,,,,,,,,,,,,70,116
73,79,,,,,,,,,,,,,73,79
76,130,,,,,,,,,,,,,76,130
77,98,,,,,,,,,,,,,77,98
79,109,,,,,,,,,,,,,79,109
85,114,,,,,,,,,,,,,85,114
100,116,,,,,,,,,,,,,100,116
102,113,,,,,,,,,,,,,102,113
103,138,,,,,,,,,,,,,103,138
104,77,,,,,,,,,,,,,104,77
105,105,,,,,,,,,,,,,105,105
106,139,,,,,,,,,,,,,106,139
110,162,,,,,,,,,,,,,110,162
112,165,,,,,,,,,,,,,112,165
113,176,,,,,,,,,,,,,113,176
145,129,,,,,,,,,,,,,145,129
153,146,,,,,,,,,,,,,153,146
185,142,,,,,,,,,,,,,185,142
582,105,,,,,,,,,,,,,582,105
585,163,,,,,,,,,,,,,585,163
601,111,,,,,,,,,,,,,601,111
619,118,,,,,,,,,,,,,619,118
629,129,,,,,,,,,,,,,629,129
630,120,,,,,,,,,,,,,630,120
1,6,,,,,,,,,,,,,1,6
3,16,,,,,,,,,,,,,3,16
5,18,,,,,,,,,,,,,5,18
6,17,,,,,,,,,,,,,6,17
8,22,,,,,,,,,,,,,8,22
10,20,,,,,,,,,,,,,10,20
1,8,,,,,,,,,,,,,1,8
2,13,,,,,,,,,,,,,2,13
3,19,,,,,,,,,,,,,3,19
4,20,,,,,,,,,,,,,4,20
5,21,,,,,,,,,,,,,5,21
6,24,,,,,,,,,,,,,6,24
7,24,,,,,,,,,,,,,7,24
8,26,,,,,,,,,,,,,8,26
9,26,,,,,,,,,,,,,9,26
10,29,,,,,,,,,,,,,10,29
11,29,,,,,,,,,,,,,11,29
12,29,,,,,,,,,,,,,12,29
13,31,,,,,,,,,,,,,13,31
1,8,,,,,,,,,,,,,1,8
3,10,,,,,,,,,,,,,3,10
4,14,,,,,,,,,,,,,4,14
8,16,,,,,,,,,,,,,8,16
9,19,,,,,,,,,,,,,9,19
43,22,,,,,,,,,,,,,43,22
,,,,,,,,,,,,,,1,9
,,,,,,,,,,,,,,4,14
,,,,,,,,,,,,,,1,12
,,,,,,,,,,,,,,3,16
,,,,,,,,,,,,,,8,20
,,,,,,,,,,,,,,17,26
,,,,,,,,,,,,,,1,7
,,,,,,,,,,,,,,2,14
,,,,,,,,,,,,,,7,12
,,,,,,,,,,,,,,8,16
,,,,,,,,,,,,,,9,20
,,,,,,,,,,,,,,11,22
,,,,,,,,,,,,,,12,21
,,,,,,,,,,,,,,13,25
,,,,,,,,,,,,,,14,26
,,,,,,,,,,,,,,15,30
,,,,,,,,,,,,,,16,34
,,,,,,,,,,,,,,17,35
,,,,,,,,,,,,,,18,36
,,,,,,,,,,,,,,19,39
,,,,,,,,,,,,,,20,40
,,,,,,,,,,,,,,21,44
,,,,,,,,,,,,,,23,43
,,,,,,,,,,,,,,24,47
,,,,,,,,,,,,,,25,53
,,,,,,,,,,,,,,26,59
,,,,,,,,,,,,,,27,50
,,,,,,,,,,,,,,32,33
,,,,,,,,,,,,,,102,65
,,,,,,,,,,,,,,1,5
,,,,,,,,,,,,,,2,10
,,,,,,,,,,,,,,4,14
,,,,,,,,,,,,,,5,16
,,,,,,,,,,,,,,7,18
,,,,,,,,,,,,,,8,19
,,,,,,,,,,,,,,9,21
,,,,,,,,,,,,,,12,25
,,,,,,,,,,,,,,14,28
,,,,,,,,,,,,,,15,29
,,,,,,,,,,,,,,17,30
,,,,,,,,,,,,,,18,31
,,,,,,,,,,,,,,23,34
,,,,,,,,,,,,,,26,37
,,,,,,,,,,,,,,28,37
,,,,,,,,,,,,,,33,39
,,,,,,,,,,,,,,46,40
,,,,,,,,,,,,,,39,42
,,,,,,,,,,,,,,44,46
,,,,,,,,,,,,,,50,47
,,,,,,,,,,,,,,54,49
,,,,,,,,,,,,,,55,52
,,,,,,,,,,,,,,64,54
,,,,,,,,,,,,,,73,55
,,,,,,,,,,,,,,1,14
,,,,,,,,,,,,,,3,17
,,,,,,,,,,,,,,4,19
,,,,,,,,,,,,,,5,22
,,,,,,,,,,,,,,7,22
,,,,,,,,,,,,,,9,27
,,,,,,,,,,,,,,11,26
,,,,,,,,,,,,,,13,31
,,,,,,,,,,,,,,14,34
,,,,,,,,,,,,,,18,33
,,,,,,,,,,,,,,19,37
,,,,,,,,,,,,,,25,42
,,,,,,,,,,,,,,26,44
,,,,,,,,,,,,,,30,46
,,,,,,,,,,,,,,32,48
,,,,,,,,,,,,,,36,49
,,,,,,,,,,,,,,39,50
,,,,,,,,,,,,,,40,53
,,,,,,,,,,,,,,41,56
,,,,,,,,,,,,,,45,40
,,,,,,,,,,,,,,60,58
,,,,,,,,,,,,,,76,50
,,,,,,,,,,,,,,89,50
,,,,,,,,,,,,,,103,65
,,,,,,,,,,,,,,1,16
,,,,,,,,,,,,,,2,34
,,,,,,,,,,,,,,3,37
,,,,,,,,,,,,,,4,55
,,,,,,,,,,,,,,15,31
,,,,,,,,,,,,,,35,46
,,,,,,,,,,,,,,40,50
,,,,,,,,,,,,,,41,55
,,,,,,,,,,,,,,49,64
,,,,,,,,,,,,,,1,8
,,,,,,,,,,,,,,2,12
,,,,,,,,,,,,,,3,9
,,,,,,,,,,,,,,4,13
,,,,,,,,,,,,,,5,17
,,,,,,,,,,,,,,6,20
,,,,,,,,,,,,,,25,17
,,,,,,,,,,,,,,7,26
,,,,,,,,,,,,,,9,30
,,,,,,,,,,,,,,12,40
,,,,,,,,,,,,,,41,50
,,,,,,,,,,,,,,53,56
,,,,,,,,,,,,,,69,59
,,,,,,,,,,,,,,73,66
,,,,,,,,,,,,,,79,57
,,,,,,,,,,,,,,95,23
,,,,,,,,,,,,,,168,73
,,,,,,,,,,,,,,195,74
,,,,,,,,,,,,,,224,76
,,,,,,,,,,,,,,232,84
,,,,,,,,,,,,,,1,5
,,,,,,,,,,,,,,2,27
,,,,,,,,,,,,,,3,17
,,,,,,,,,,,,,,6,29
,,,,,,,,,,,,,,2,9
,,,,,,,,,,,,,,3,18
,,,,,,,,,,,,,,4,21
,,,,,,,,,,,,,,5,23
,,,,,,,,,,,,,,6,25
,,,,,,,,,,,,,,9,26
,,,,,,,,,,,,,,10,29
,,,,,,,,,,,,,,14,18
,,,,,,,,,,,,,,19,20
,,,,,,,,,,,,,,23,25
,,,,,,,,,,,,,,1,11
,,,,,,,,,,,,,,2,15
,,,,,,,,,,,,,,3,20
,,,,,,,,,,,,,,6,26
,,,,,,,,,,,,,,1,8
,,,,,,,,,,,,,,5,16
,,,,,,,,,,,,,,18,6
,,,,,,,,,,,,,,20,9
,,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,,26,13
,,,,,,,,,,,,,,29,12
,,,,,,,,,,,,,,545,17
,,,,,,,,,,,,,,547,23
,,,,,,,,,,,,,,1,18
,,,,,,,,,,,,,,2,16
,,,,,,,,,,,,,,4,20
,,,,,,,,,,,,,,7,27
,,,,,,,,,,,,,,8,31
,,,,,,,,,,,,,,9,38
,,,,,,,,,,,,,,12,39
,,,,,,,,,,,,,,13,37
,,,,,,,,,,,,,,15,54
,,,,,,,,,,,,,,17,55
,,,,,,,,,,,,,,18,42
,,,,,,,,,,,,,,19,41
,,,,,,,,,,,,,,20,61
,,,,,,,,,,,,,,21,50
,,,,,,,,,,,,,,22,52
,,,,,,,,,,,,,,27,47
,,,,,,,,,,,,,,44,65
,,,,,,,,,,,,,,97,71
,,,,,,,,,,,,,,172,87
,,,,,,,,,,,,,,5,16
,,,,,,,,,,,,,,6,16
,,,,,,,,,,,,,,7,20
,,,,,,,,,,,,,,8,25
,,,,,,,,,,,,,,9,30
,,,,,,,,,,,,,,10,30
,,,,,,,,,,,,,,11,35
,,,,,,,,,,,,,,12,35
,,,,,,,,,,,,,,13,47
,,,,,,,,,,,,,,15,42
,,,,,,,,,,,,,,30,37
,,,,,,,,,,,,,,32,45
,,,,,,,,,,,,,,33,40
,,,,,,,,,,,,,,35,50
,,,,,,,,,,,,,,38,58
,,,,,,,,,,,,,,42,60
,,,,,,,,,,,,,,44,50
,,,,,,,,,,,,,,47,53
,,,,,,,,,,,,,,50,71
,,,,,,,,,,,,,,51,57
,,,,,,,,,,,,,,55,53
,,,,,,,,,,,,,,62,73
,,,,,,,,,,,,,,1,11
,,,,,,,,,,,,,,3,16
,,,,,,,,,,,,,,4,15
,,,,,,,,,,,,,,15,23
,,,,,,,,,,,,,,25,25
,,,,,,,,,,,,,,26,28
,,,,,,,,,,,,,,32,48
,,,,,,,,,,,,,,33,31
,,,,,,,,,,,,,,37,47
,,,,,,,,,,,,,,53,56
,,,,,,,,,,,,,,61,118
,,,,,,,,,,,,,,1,10
,,,,,,,,,,,,,,2,9
,,,,,,,,,,,,,,3,14
,,,,,,,,,,,,,,4,16
,,,,,,,,,,,,,,5,13
,,,,,,,,,,,,,,6,15
,,,,,,,,,,,,,,13,18
,,,,,,,,,,,,,,16,13
,,,,,,,,,,,,,,18,20
,,,,,,,,,,,,,,20,20
,,,,,,,,,,,,,,22,22
,,,,,,,,,,,,,,23,23
,,,,,,,,,,,,,,24,29
,,,,,,,,,,,,,,29,28
,,,,,,,,,,,,,,32,30
,,,,,,,,,,,,,,38,19
,,,,,,,,,,,,,,43,25
,,,,,,,,,,,,,,44,29
,,,,,,,,,,,,,,47,32
,,,,,,,,,,,,,,49,33
,,,,,,,,,,,,,,103,26
,,,,,,,,,,,,,,119,30
,,,,,,,,,,,,,,1,11
,,,,,,,,,,,,,,10,21
,,,,,,,,,,,,,,57,74
,,,,,,,,,,,,,,76,50
,,,,,,,,,,,,,,79,70
,,,,,,,,,,,,,,82,92
,,,,,,,,,,,,,,99,90
,,,,,,,,,,,,,,133,128
,,,,,,,,,,,,,,135,101
,,,,,,,,,,,,,,140,81
,,,,,,,,,,,,,,159,119
,,,,,,,,,,,,,,160,88
,,,,,,,,,,,,,,196,155
,,,,,,,,,,,,,,210,85
,,,,,,,,,,,,,,94,100
,,,,,,,,,,,,,,1,14
,,,,,,,,,,,,,,2,23
,,,,,,,,,,,,,,3,31
,,,,,,,,,,,,,,4,36
,,,,,,,,,,,,,,5,37
,,,,,,,,,,,,,,9,16
,,,,,,,,,,,,,,62,33
,,,,,,,,,,,,,,1,31
,,,,,,,,,,,,,,2,14
,,,,,,,,,,,,,,3,13
,,,,,,,,,,,,,,4,15
,,,,,,,,,,,,,,5,19
,,,,,,,,,,,,,,6,20
,,,,,,,,,,,,,,7,24
,,,,,,,,,,,,,,8,27
,,,,,,,,,,,,,,9,30
,,,,,,,,,,,,,,10,31
,,,,,,,,,,,,,,11,33
,,,,,,,,,,,,,,12,35
,,,,,,,,,,,,,,13,35
,,,,,,,,,,,,,,14,38
,,,,,,,,,,,,,,15,39
,,,,,,,,,,,,,,16,41
,,,,,,,,,,,,,,17,44
,,,,,,,,,,,,,,18,45
,,,,,,,,,,,,,,19,46
,,,,,,,,,,,,,,20,49
,,,,,,,,,,,,,,21,49
,,,,,,,,,,,,,,22,50
,,,,,,,,,,,,,,23,53
,,,,,,,,,,,,,,25,52
,,,,,,,,,,,,,,26,49
,,,,,,,,,,,,,,27,54
,,,,,,,,,,,,,,28,55
,,,,,,,,,,,,,,39,55
,,,,,,,,,,,,,,1,20
,,,,,,,,,,,,,,2,20
,,,,,,,,,,,,,,6,20
,,,,,,,,,,,,,,2,10
,,,,,,,,,,,,,,3,16
,,,,,,,,,,,,,,5,19
,,,,,,,,,,,,,,1,12
,,,,,,,,,,,,,,2,20
,,,,,,,,,,,,,,3,26
,,,,,,,,,,,,,,84,48
,,,,,,,,,,,,,,90,58
,,,,,,,,,,,,,,1,16
,,,,,,,,,,,,,,2,28
,,,,,,,,,,,,,,3,31
,,,,,,,,,,,,,,4,15
,,,,,,,,,,,,,,5,32
,,,,,,,,,,,,,,6,35
,,,,,,,,,,,,,,11,32
,,,,,,,,,,,,,,12,33
,,,,,,,,,,,,,,13,13
,,,,,,,,,,,,,,19,18
,,,,,,,,,,,,,,22,37
,,,,,,,,,,,,,,23,40
,,,,,,,,,,,,,,24,29
,,,,,,,,,,,,,,26,44
,,,,,,,,,,,,,,27,51
,,,,,,,,,,,,,,30,51
,,,,,,,,,,,,,,34,40
,,,,,,,,,,,,,,36,58
,,,,,,,,,,,,,,1,7
,,,,,,,,,,,,,,3,13
,,,,,,,,,,,,,,7,24
,,,,,,,,,,,,,,55,38
,,,,,,,,,,,,,,152,50
,,,,,,,,,,,,,,250,50
,,,,,,,,,,,,,,1,24
,,,,,,,,,,,,,,2,11
,,,,,,,,,,,,,,3,16
,,,,,,,,,,,,,,4,20
,,,,,,,,,,,,,,7,26
,,,,,,,,,,,,,,15,44
,,,,,,,,,,,,,,17,32
,,,,,,,,,,,,,,18,28
,,,,,,,,,,,,,,21,37
,,,,,,,,,,,,,,22,41
,,,,,,,,,,,,,,23,40
,,,,,,,,,,,,,,24,45
,,,,,,,,,,,,,,30,47
,,,,,,,,,,,,,,36,28
,,,,,,,,,,,,,,46,59
,,,,,,,,,,,,,,50,62
,,,,,,,,,,,,,,64,70
,,,,,,,,,,,,,,77,76
,,,,,,,,,,,,,,6,18
,,,,,,,,,,,,,,8,18
,,,,,,,,,,,,,,9,20
,,,,,,,,,,,,,,10,25
,,,,,,,,,,,,,,11,21
,,,,,,,,,,,,,,13,23
,,,,,,,,,,,,,,16,26
,,,,,,,,,,,,,,17,27
,,,,,,,,,,,,,,18,28
,,,,,,,,,,,,,,21,30
,,,,,,,,,,,,,,22,25
